Date,Open,High,Low,Close,Volume
2024-12-02,80.7,81.23,79.9197,80.07,1550882
2024-12-03,79.27,80.64,79.0866,80.15,1524302
2024-12-04,80.17,80.85,79.58,79.75,2079131
2024-12-05,79.38,79.485,74.36,77.03,3286664
2024-12-06,77.4,78.36,77.04,77.32,2480749
2024-12-09,77.36,79.11,77.06,78.65,2335936
2024-12-10,78.46,78.46,76.08,76.43,2003203
2024-12-11,77.14,78.13,76.89,77.58,1673768
2024-12-12,77.72,78.52,76.91,78.25,1533174
2024-12-13,77.69,78.12,74.59,75.07,2325172
2024-12-16,75.05,76.995,74.37,75.22,2371023
2024-12-17,74.76,76.447,73.08,73.13,2823144
2024-12-18,73.12,74.26,70.76,70.77,4020389
2024-12-19,70.65,72.1,69.75,69.84,3860966
2024-12-20,69.89,71.86,69.61,71.44,7036135
2024-12-23,70.12,72.86,70.11,72.74,2638063
2024-12-24,72.33,73.0,71.93,72.95,1159695
2024-12-26,72.38,73.52,71.8,73.1,1292989
2024-12-27,72.28,72.8,71.69,72.22,1702431
2024-12-30,71.69,72.395,71.0,71.82,2352363
2024-12-31,72.035,72.49,70.74,71.59,2124995
2025-01-02,72.17,72.94,70.5,70.83,2471661
2025-01-03,70.86,72.4,70.7,72.25,1848688
2025-01-06,72.16,73.0,71.13,71.21,1953079
2025-01-07,71.22,72.21,70.28,70.36,2098577
2025-01-08,70.63,71.61,70.29,71.34,2214489
2025-01-10,70.33,70.74,69.44,69.87,2769250
2025-01-13,69.81,70.1,68.77,69.29,2735738
2025-01-14,69.43,70.21,68.41,69.61,3775856
2025-01-15,71.14,74.38,71.14,73.22,3786658
2025-01-16,73.16,73.55,71.82,73.42,2226066
2025-01-17,75.06,75.06,72.99,73.85,2189277
2025-01-21,74.45,74.99,73.97,74.16,2194298
2025-01-22,74.16,75.04,73.51,74.01,2098768
2025-01-23,73.6,74.95,73.16,74.38,2135251
2025-01-24,74.0,75.4099,73.11,74.16,1702785
2025-01-27,73.52,76.53,73.49,76.44,2307494
2025-01-28,75.87,77.54,75.715,76.12,3048035
2025-01-29,76.28,76.8,75.46,75.65,1896620
2025-01-30,76.81,77.53,75.91,76.52,1543491
2025-01-31,76.19,77.43,76.06,76.6,2620807
2025-02-03,76.52,77.9,76.08,76.8,2823303
2025-02-04,76.51,78.1,76.23,77.46,2808904
2025-02-05,76.62,77.96,75.64,77.72,3129435
2025-02-06,78.09,78.39,77.09,78.19,2023289
2025-02-07,78.39,78.39,77.17,77.25,2224443
2025-02-10,77.72,77.72,76.52,76.97,1927941
2025-02-11,76.21,77.0,75.29,76.0,1975365
2025-02-12,74.11,74.53,72.86,73.27,2595782
2025-02-13,73.43,74.02,72.515,73.56,2900993
2025-02-14,74.1,74.455,73.32,74.06,3413095
2025-02-18,74.355,75.62,73.9,75.46,5453479
2025-02-19,72.83,79.32,72.5,79.21,7407869
2025-02-20,79.21,79.45,77.91,78.33,4804688
2025-02-21,78.33,79.04,76.485,76.79,4667024
2025-02-24,77.44,77.85,76.34,77.48,4316408
2025-02-25,77.47,77.79,76.88,77.6,3584470
2025-02-26,77.23,78.6,76.83,76.92,3574284
2025-02-27,76.64,76.68,73.65,74.36,4277463
2025-02-28,75.63,76.4,74.14,76.25,6197320
2025-03-03,76.01,77.35,75.2,75.39,6448054
2025-03-04,75.15,76.0,74.08,75.58,6322082
2025-03-05,75.22,78.2,75.21,77.81,5482464
2025-03-06,77.06,78.57,76.77,76.86,5227357
2025-03-07,76.68,79.67,75.79,79.39,3741042
2025-03-10,79.63,83.03,79.19,79.91,4751936
2025-03-11,79.9,80.045,76.73,76.87,4279086
2025-03-12,76.92,77.22,75.695,76.86,3845036
2025-03-13,76.62,77.57,75.21,75.44,3124235
2025-03-14,76.43,78.92,75.78,78.73,2874368
2025-03-17,78.67,80.77,78.65,80.15,4154948
2025-03-18,79.39,80.475,78.3,78.36,2733785
2025-03-19,78.23,80.01,77.96,79.4,2856880
2025-03-20,78.69,79.845,78.34,79.02,2167945
2025-03-21,78.52,78.715,77.35,78.46,4383943
2025-03-24,79.39,80.68,79.04,80.14,2266242
2025-03-25,79.82,80.69,79.565,80.23,1608014
2025-03-26,80.44,81.16,79.975,80.37,1938813
2025-03-27,80.39,80.86,79.47,80.13,2453086
2025-03-28,80.13,80.2,78.571,79.31,2545039
2025-03-31,79.1,79.76,78.26,79.23,2976928
2025-04-01,78.79,80.26,78.335,79.18,2411297
2025-04-02,78.11,80.3,78.0,79.92,2448494
2025-04-03,79.8,79.8,76.11,76.35,3958220
2025-04-04,75.925,75.995,72.55,72.62,3882093
2025-04-07,76.5,77.95,72.21,75.75,7732091
2025-04-08,74.53,77.16,72.27,73.23,5310607
2025-04-09,72.24,79.2,71.21,78.7,5874819
2025-04-10,77.3,77.3,72.9,75.42,3889654
2025-04-11,75.27,77.74,74.43,77.39,2224802
2025-04-14,77.7,79.89,76.9,79.53,2314365
2025-04-15,79.67,81.07,79.67,80.51,2596039
2025-04-16,79.84,80.49,78.09,79.02,2715666
2025-04-17,79.75,80.26,79.01,79.7,2033950
2025-04-21,78.61,79.2,76.92,77.81,3355108
2025-04-22,78.21,81.2,78.21,80.87,3339123
2025-04-23,82.01,83.68,81.64,81.83,3089561
2025-04-24,81.83,83.6,81.35,83.22,2308399
2025-04-25,82.76,83.49,81.88,82.82,2295386
2025-04-28,82.92,83.475,81.1,81.74,3945225
2025-04-29,81.16,83.0,80.4,82.7,5675438
