Date,Open,High,Low,Close,Volume
2008-08-13,11.857,11.857,11.185,11.738,790
2008-08-14,11.699,11.699,11.699,11.699,3
2008-08-18,11.185,11.422,9.88,11.422,177
2008-08-19,9.2881,11.383,9.2881,11.383,3
2008-08-20,11.264,11.264,11.264,11.264,3
2008-08-21,9.88,9.88,9.88,9.88,254
2008-08-22,9.88,10.158,9.88,10.158,7
2008-08-25,10.236,10.236,10.236,10.236,3
2008-08-26,10.236,10.236,10.236,10.236,3
2008-08-27,10.236,10.236,10.236,10.236,3
2008-08-28,10.236,10.236,10.236,10.236,3
2008-08-29,10.236,10.236,10.236,10.236,22
2008-09-01,10.236,10.236,9.0904,9.0904,2280
2008-09-02,10.236,10.236,10.236,10.236,0
2008-09-03,10.236,10.236,10.236,10.236,0
2008-09-04,10.236,10.236,10.236,10.236,0
2008-09-05,10.236,10.236,10.236,10.236,3
2008-09-08,10.158,10.158,10.158,10.158,3
2008-09-09,9.88,9.88,9.88,9.88,25
2008-09-10,10.158,10.158,10.158,10.158,3
2008-09-11,10.236,10.236,10.236,10.236,3
2008-09-12,8.8927,9.0904,8.8927,9.0904,182
2008-09-15,9.96,9.96,9.96,9.96,3
2008-09-16,9.96,9.96,8.695,8.695,33
2008-09-18,8.695,8.695,8.695,8.695,22
2008-09-19,9.92,9.92,9.92,9.92,3
2008-09-22,8.6553,8.6553,7.9439,8.379,747
2008-09-23,7.9439,7.9439,7.5096,7.5096,516
2008-09-25,7.9042,7.9042,7.9042,7.9042,12
2008-09-26,7.9042,7.9042,7.9042,7.9042,3
2008-09-29,7.9042,7.9042,7.9042,7.9042,3
2008-09-30,7.9042,7.9042,7.9042,7.9042,3
2008-10-01,8.6553,8.6553,8.6553,8.6553,28
2008-10-02,8.6553,8.6553,8.6553,8.6553,25
2008-10-03,8.6553,8.6553,8.6553,8.6553,25
2008-10-06,8.6553,8.6553,8.6553,8.6553,25
2008-10-07,8.6553,8.6553,8.6553,8.6553,7
2008-10-08,8.4973,8.4973,8.4973,8.4973,25
2008-10-09,8.4576,8.4576,8.4576,8.4576,12
2008-10-10,8.4187,10.276,8.4187,8.4973,286
2008-10-13,10.276,10.276,9.0904,9.0904,435
2008-10-14,9.4851,9.4851,9.4851,9.4851,6
2008-10-15,10.276,10.276,7.9042,10.078,43
2008-10-16,10.078,10.078,10.078,10.078,6
2008-10-17,8.2996,10.078,8.2996,10.078,602
2008-10-20,10.078,10.078,10.078,10.078,6
2008-10-21,10.078,10.078,10.078,10.078,30
2008-10-22,10.078,10.078,10.078,10.078,6
2008-10-23,8.1019,10.078,8.1019,10.078,870
2008-10-24,10.078,10.078,8.063,8.063,83
2008-10-27,9.644,9.644,9.644,9.644,12
2008-10-28,9.4851,9.4851,8.2996,8.2996,769
2008-10-29,8.8927,8.8927,7.7859,7.9042,165
2008-10-30,8.1019,8.1019,8.1019,8.1019,15
2008-10-31,8.1019,8.1019,7.9042,7.9042,398
2008-11-03,8.1019,8.1019,8.1019,8.1019,6
2008-11-04,7.9042,7.9042,7.9042,7.9042,7
2008-11-05,7.9042,7.9042,7.9042,7.9042,7
2008-11-06,7.9042,7.9042,7.9042,7.9042,7
2008-11-07,7.9042,7.9042,7.9042,7.9042,7
2008-11-10,7.9042,7.9042,7.9042,7.9042,7
2008-11-12,7.9042,7.9042,7.9042,7.9042,6
2008-11-13,7.9042,7.9042,7.9042,7.9042,7
2008-11-14,7.7073,7.7073,7.7073,7.7073,6
2008-11-17,7.7073,7.7073,6.9165,6.9165,496
2008-11-18,7.5096,7.5096,7.5096,7.5096,12
2008-11-19,7.5096,7.5096,7.5096,7.5096,12
2008-11-20,7.5096,7.5096,7.5096,7.5096,7
2008-11-21,7.4699,7.5096,7.4699,7.5096,21
2008-11-24,7.9042,7.9042,7.9042,7.9042,6
2008-11-25,7.9042,7.9042,7.9042,7.9042,7
2008-11-26,7.9042,7.9042,7.9042,7.9042,7
2008-11-27,7.9042,7.9042,7.9042,7.9042,6
2008-11-28,7.9042,7.9042,7.9042,7.9042,7
2008-12-01,7.9042,7.9042,7.9042,7.9042,0
2008-12-02,7.9042,7.9042,7.1539,7.1539,233
2008-12-03,7.9042,7.9042,7.9042,7.9042,6
2008-12-04,7.9042,7.9042,7.9042,7.9042,7
2008-12-05,7.9042,7.9042,7.9042,7.9042,6
2008-12-09,8.6553,8.6553,8.6553,8.6553,6
2008-12-11,7.9042,7.9042,7.9042,7.9042,7
2008-12-12,7.9042,7.9042,7.9042,7.9042,12
2008-12-15,7.9042,7.9042,7.9042,7.9042,7
2008-12-16,7.9042,7.9042,7.9042,7.9042,10
2008-12-17,7.9042,7.9042,7.9042,7.9042,21
