Date,Open,High,Low,Close,Volume
2024-12-02,291.3,297.1,290.7,296.5,814714
2024-12-03,295.5,298.9,295.1,297.5,572313
2024-12-04,298.8,300.1,298.3,300.1,487958
2024-12-05,301.0,304.7,300.8,304.6,699781
2024-12-06,304.0,304.6,301.3,301.6,571909
2024-12-09,302.8,302.8,298.4,298.6,721690
2024-12-10,299.0,299.4,292.3,298.1,1011065
2024-12-11,299.4,302.9,298.0,301.6,749006
2024-12-12,301.9,302.9,299.1,299.4,679382
2024-12-13,299.2,303.5,297.8,302.1,790932
2024-12-16,302.1,302.5,299.0,299.4,826607
2024-12-17,299.2,300.7,298.1,299.1,498859
2024-12-18,300.5,301.1,297.5,297.6,753449
2024-12-19,297.6,298.3,295.2,296.9,829397
2024-12-20,295.0,295.5,291.1,294.6,1307177
2024-12-23,294.2,295.1,293.3,294.2,446106
2024-12-27,293.6,295.1,291.2,295.1,550402
2024-12-30,294.4,296.8,293.6,295.9,369274
2025-01-02,297.1,298.3,293.9,296.8,590008
2025-01-03,297.2,298.8,296.3,296.9,510116
2025-01-06,298.0,299.0,294.0,299.0,670627
2025-01-07,297.7,301.1,294.5,300.3,694126
2025-01-08,299.9,302.9,299.1,301.6,500598
2025-01-09,300.1,301.1,298.4,300.5,466510
2025-01-10,299.3,299.9,295.8,296.0,620826
2025-01-13,295.4,295.6,291.9,293.9,642593
2025-01-14,295.4,295.6,294.1,295.6,462194
2025-01-15,296.9,301.9,296.2,301.3,850204
2025-01-16,302.0,303.6,299.9,303.6,650194
2025-01-17,304.0,307.0,303.7,305.8,867213
2025-01-20,305.4,307.1,305.2,306.1,488205
2025-01-21,305.9,306.9,303.4,304.5,482116
2025-01-22,304.7,308.6,304.4,306.5,570131
2025-01-23,308.3,310.8,306.3,310.8,610755
2025-01-24,310.7,311.0,308.2,308.9,595869
2025-01-27,310.2,313.8,308.6,313.0,701165
2025-01-28,311.3,316.3,309.5,315.0,535256
2025-01-29,315.3,315.8,313.1,314.2,503834
2025-01-30,315.3,315.9,314.1,315.6,401781
2025-01-31,316.5,316.5,313.0,314.4,517316
2025-02-03,310.5,313.4,309.7,311.9,643308
2025-02-04,311.4,312.9,308.9,312.9,533230
2025-02-05,311.2,313.1,310.6,313.1,377401
2025-02-06,313.8,317.7,313.8,316.9,547500
2025-02-07,318.2,319.0,316.6,318.4,546392
2025-02-10,319.0,320.4,318.5,320.0,464632
2025-02-11,320.0,321.1,318.6,320.2,507930
2025-02-12,320.7,323.5,320.2,323.1,544149
2025-02-13,325.0,330.3,324.5,330.3,1035040
2025-02-14,325.0,327.0,320.2,322.2,969461
2025-02-17,322.5,328.2,322.1,327.4,461436
