Date,Open,High,Low,Close,Volume
2024-12-02,134.2,141.4,134.2,140.34,5503965
2024-12-03,139.5,142.2999,139.44,140.38,3954636
2024-12-04,142.5,144.54,141.06,141.3,2959784
2024-12-05,140.86,142.46,137.56,137.95,4769912
2024-12-06,138.145,142.42,136.63,140.89,3394674
2024-12-09,140.15,143.2,136.26,139.64,3491704
2024-12-10,138.65,140.72,135.83,137.29,2826220
2024-12-11,137.0,144.3104,136.7645,143.16,4473108
2024-12-12,142.0,150.0,140.7,148.0,7249978
2024-12-13,151.51,156.4,150.95,151.91,8140439
2024-12-16,153.0,153.0,142.04,145.0,6443771
2024-12-17,143.61,144.0,137.82,142.8,6373774
2024-12-18,143.5,146.64,134.345,136.56,4255490
2024-12-19,137.01,140.2099,131.95,132.1,6153537
2024-12-20,129.66,135.79,128.3025,132.15,5601366
2024-12-23,129.89,130.25,123.26,126.87,8531427
2024-12-24,127.46,133.11,127.2,131.79,3464234
2024-12-26,130.9,133.2999,129.63,129.69,2524443
2024-12-27,128.995,130.26,126.7,129.2,2801559
2024-12-30,126.655,127.71,124.82,125.91,2719253
2024-12-31,125.52,126.54,123.11,123.36,2690240
2025-01-02,124.995,129.4,124.995,128.2,3747765
2025-01-03,129.64,141.45,129.515,141.08,7206802
2025-01-06,142.79,150.14,142.79,147.41,7056686
2025-01-07,147.84,148.45,140.17,144.38,5602824
2025-01-08,142.34,148.25,142.23,145.2,3418683
2025-01-10,140.8,141.88,138.02,140.49,3156713
2025-01-13,137.0,138.02,134.63,137.07,3343163
2025-01-14,139.785,143.1299,138.05,140.06,3240342
2025-01-15,143.0,148.25,142.8252,147.4,4849822
2025-01-16,148.24,150.01,144.23,147.52,4353352
2025-01-17,149.2,151.6,147.77,149.26,4217349
2025-01-21,149.85,156.9711,147.01,155.2,6807499
2025-01-22,160.37,182.88,159.95,179.93,27244374
2025-01-23,170.39,170.39,162.5,166.56,16494388
2025-01-24,166.5,168.7263,162.45,162.52,6532374
2025-01-27,148.9,152.27,142.3176,145.96,11715378
2025-01-28,148.0,150.5,145.96,149.47,5572268
2025-01-29,150.66,151.75,145.21,147.6,2814289
2025-01-30,150.3,154.88,149.5,153.23,4531885
2025-01-31,154.0,162.96,153.55,159.55,8015390
2025-02-03,153.55,159.36,152.0,155.65,4104706
2025-02-04,157.5,163.65,155.8,162.2,5086049
2025-02-05,162.94,173.95,162.5,173.26,13412829
2025-02-06,162.0,170.45,158.7,167.47,11885899
2025-02-07,166.5,170.7364,160.8695,162.51,5915058
2025-02-10,162.955,163.3999,158.5801,160.84,3443462
2025-02-11,160.07,163.11,157.2875,157.74,3108636
2025-02-12,155.0,157.9,154.01,155.41,3470140
2025-02-13,154.97,168.39,153.8,164.83,11433801
2025-02-14,160.165,161.3442,156.12,159.54,6084844
2025-02-18,160.5,161.15,155.65,160.32,4809710
2025-02-19,157.56,160.9357,152.29,154.36,5228795
2025-02-20,153.2,154.05,147.53,150.85,3865999
2025-02-21,151.245,151.99,143.8,144.84,4916989
2025-02-24,145.055,145.6117,138.05,140.53,3829698
2025-02-25,139.32,139.5,133.16,136.7,5786313
2025-02-26,139.43,141.57,137.91,138.97,3263180
2025-02-27,142.01,144.41,130.145,130.34,4799626
2025-02-28,129.3,133.98,127.43,131.69,4253846
2025-03-03,133.0,133.94,120.0701,121.1,7356741
2025-03-04,121.91,125.91,117.89,122.49,8075722
2025-03-05,124.625,125.49,120.36,124.78,4601581
2025-03-06,120.7,123.4,117.75,117.92,5014553
2025-03-07,118.52,127.5811,117.52,125.55,6537634
2025-03-10,120.5,121.8,114.38,116.38,7267413
2025-03-11,116.0,118.5,110.25,111.49,8069201
2025-03-12,115.52,117.98,112.0,112.7,5291214
2025-03-13,114.0,114.78,109.9,112.05,4480686
2025-03-14,115.79,118.62,115.21,117.94,4573896
2025-03-17,118.06,123.7,118.0549,121.37,3444925
2025-03-18,120.56,120.6476,116.36,119.72,3138784
2025-03-19,119.44,120.49,116.244,117.91,3729575
2025-03-20,116.82,120.44,115.81,119.07,2335162
2025-03-21,116.375,119.43,115.5,119.07,2552391
2025-03-24,122.06,126.27,122.0,124.85,4314334
2025-03-25,124.92,125.5,123.1,124.28,1887287
2025-03-26,123.0,123.45,114.17,114.93,4898639
2025-03-27,114.0,114.04,109.25,112.47,4203112
2025-03-28,111.5,113.1763,106.73,107.8,4624071
2025-03-31,104.0,106.93,101.3638,106.79,4662707
2025-04-01,105.72,108.4699,103.58,106.98,4236103
2025-04-02,104.38,110.1349,104.38,108.14,2350625
2025-04-03,101.16,103.24,97.33,97.72,8088131
2025-04-04,91.65,95.38,84.3901,87.71,12485983
2025-04-07,80.92,94.14,80.0,88.63,9081667
2025-04-08,94.375,96.5502,84.117,85.82,8447500
2025-04-09,85.615,107.9401,85.19,106.59,13935053
2025-04-10,98.9,102.0,95.345,100.46,8620945
2025-04-11,100.0,105.665,98.802,103.99,6481201
2025-04-14,108.21,109.46,102.86,105.06,3674719
2025-04-15,104.81,106.3142,102.66,103.8,3092066
2025-04-16,98.0,101.71,97.895,101.0,4881728
2025-04-17,102.26,102.26,98.8401,100.73,3124931
2025-04-21,99.79,100.23,95.32,96.83,4231800
2025-04-22,98.22,101.847,97.9035,100.55,3808524
2025-04-23,106.4,109.86,104.67,105.16,5140745
2025-04-24,107.36,112.5,106.98,112.01,5047646
2025-04-25,112.0,114.83,110.56,113.34,3908380
2025-04-28,112.53,114.18,110.01,112.08,3241285
2025-04-29,112.6,113.5911,111.49,111.65,1953963
2025-04-30,108.595,114.24,107.54,114.05,3737401
2025-05-01,117.0,119.5709,115.23,115.4,6993600
2025-05-02,118.57,123.98,118.46,123.27,5131987
2025-05-05,121.09,123.43,120.5,121.95,3525176
2025-05-06,118.0,123.58,118.0,122.44,4236058
2025-05-07,123.105,124.44,120.19,124.19,9237893
2025-05-08,119.195,119.8,114.33,116.52,15725322
2025-05-09,117.56,118.82,114.8,115.8,5364763
2025-05-12,121.635,125.45,121.3,124.81,7552649
2025-05-13,125.0,128.9,124.2,126.68,7630738
2025-05-14,128.97,134.97,128.81,133.45,8876042
2025-05-15,133.005,135.18,129.0,133.07,5357922
2025-05-16,133.35,136.15,132.9,135.96,4789901
2025-05-19,130.355,133.28,129.53,132.05,4195586
2025-05-20,131.84,132.04,129.7,131.04,3108482
2025-05-21,128.92,135.34,128.6,130.45,4810123
2025-05-22,129.6,131.1388,128.9578,129.28,2366176
2025-05-23,126.14,127.66,124.9,127.18,2966784
2025-05-27,130.05,135.99,129.73,133.96,5507532
2025-05-28,134.825,138.5,133.95,135.54,5937438
2025-05-29,138.5,138.59,126.75,128.1,7438789
